3661579 - Xkr4 1
3670236 + Gm10568 1
4350473 - Rp1 1
4487435 - Sox17 1
4775820 - Mrpl15 1
4797869 + Lypla1 1
4847884 + Tcea1 1
5060366 - Rgs20 1
5073233 + Atp6v1h 1
5578574 + Oprk1 1
5907374 - Npbwr1 1
6196278 + Rb1cc1 1
6205373 - 4732440D04Rik 1
6477312 + St18 1
7079231 + Pcmtd1 1
7167820 + AC171328.1 1
9289959 - Sntg1 1
9535539 + Rrs1 1
9538029 + Adhfe1 1
9591280 + 3110035E14Rik 1
9621256 - 2610203C22Rik 1
9690290 - Mybl1 1
9738463 - Vcpip1 1
9788234 + Sgk3 1
9898719 + 6030422M02Rik 1
9951205 - Gm10567 1
9999217 - Lrrc67 1
10028208 - Cops5 1
10028299 + Cspp1 1
10222751 - Arfgef1 1
10710026 - Cpa6 1
10983546 + Prex2 1
11404186 + A830018L16Rik 1
11404193 + AC102654.1 1
12708610 + Sulf1 1
12981258 - Slco5a1 1
13117244 - Prdm14 1
13364164 - Ncoa2 1
13579945 - Tram1 1
13650627 - Lactb2 1
13658852 + Xkr9 1
14300281 - Eya1 1
14745535 + Gm9947 1
14746047 - Msc 1
14908943 - Trpa1 1
15057114 + Gm5048 1
15795739 + Terf1 1
15882803 - Gm106 1
16083406 - 4930444P10Rik 1
16094743 - Rpl7 1
16095855 + Rdh10 1
16510193 - Stau2 1
16609570 - Ube2w 1
16646946 - Tceb1 1
16655272 + Tmem70 1
16678514 + Ly96 1
17087970 - Jph1 1
17135443 + Gdap1 1
17591985 + Pi15 1
17717126 + Crispld1 1
18135983 - Crisp4 1
18227524 - Defb18 1
18255161 - Gm15386 1
18255219 - Defb41 1
19093103 + Tcfap2d 1
19198995 + Tcfap2b 1
20608145 - Pkhd1 1
20720986 + Il17a 1
20774351 - Il17f 1
20810306 - Mcm3 1
20880698 + Paqr8 1
20941707 + Efhc1 1
21069310 - Tram2 1
21208656 + Tmem14a 1
21230670 + Gsta3 1
21288393 - Gm4956 1
21339722 + Khdc1a 1
21358412 + Khdc1c 1
21373637 + Khdc1b 1
21952023 - Kcnq5 1
22812563 - Rims1 1
23109070 - 4933415F23Rik 1
23263245 - Gm6420 1
23390014 - Ogfrl1 1
23768592 + B3gat2 1
23929156 - Smap1 1
24012495 - 1110058L19Rik 1
24093413 - Fam135a 1
24184449 + Col9a1 1
24594311 - Col19a1 1
24619539 - Gm10222 1
24621490 - Gm10925 1
24685383 + Lmbrd1 1
25886552 - Bai3 1
25887502 + Gm9884 1
26744305 - 4931408C20Rik 1
27099346 + AC102363.1 1
28837097 - Gm597 1
30776806 - Gm9898 1
30920101 - Phf3 1
31006615 - Ptp4a1 1
31035810 - Gm5698 1
31056750 - Gm5699 1
31233251 + Lgsn 1
31279506 - 4931428L18Rik 1
31279784 + 4930521A18Rik 1
32229572 + Khdrbs2 1
32577844 - Gm9839 1
32602979 - Gm5415 1
32730574 - AC124771.1 1
33726600 - Prim2 1
33726688 + 1700001G17Rik 1
33776727 + Rab23 1
33814639 - Bag2 1
33871440 - Zfp451 1
33964661 - Bend6 1
33965125 + Dst 1
34460294 - AC162904.1 1
34496189 - Ccdc115 1
34496696 + Imp4 1
34503604 + D1Ertd448e 1
34516591 + Ptpn18 1
34555275 + Prss39 1
34592493 + Cfc1 1
34617788 - Tesp2 1
34636458 - 1700101I19Rik 1
34636572 + Fam123c 1
34778769 + Arhgef4 1
34899910 - Fam168b 1
34906804 + Plekhb2 1
36125245 + Hs6st1 1
36301121 - Uggt1 1
36330270 - Neurl3 1
36364578 + Arid5a 1
36426026 - 4632411B12Rik 1
36502116 - Lman2l 1
36528465 + Cnnm4 1
36568712 + Cnnm3 1
36575817 + AC084391.1 1
36592574 - Ankrd23 1
36604061 - Ankrd39 1
36615194 - Sema4c 1
36740028 - Fam178b 1
36748425 + Cox5b 1
36771267 - Actr1b 1
36818706 + Zap70 1
36968172 + AC123854.2 1
36996372 - Tmem131 1
37015362 - Rpl12-ps1 1
37083441 + Vwa3b 1
37210689 + AC133096.1 1
37275181 + Cnga3 1
37356710 + Inpp4a 1
37474944 - AC084390.1 1
37486948 - 6330578E17Rik 1
37487015 + Unc50 1
37597861 - Mgat4a 1
